video_id;game;comment_id;author_display_name;text;published_at;like_count;text_clean;text_casefoldingText;text_slangwords;text_title;text_stemming;text_tokenizingText;text_stopword;text_akhir;sentiment;confidence
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzT_UX0Wk_IJF55BHN4AaABAg;@R7Tatsumaki;"Untuk nextnya tidak akan banyak Yapping/Typing yaak biar ga terlalu mencolok Thank u sarannya
Top up di R7store.id""";08/12/2025 12:00;2415;Untuk next nya tidak akan banyak Yapping Typing yaak biar ga terlalu mencolok Thank u saran nya Top up di Rstore id;untuk next nya tidak akan banyak yapping typing yaak biar ga terlalu mencolok thank u saran nya top up di rstore id;untuk selanjut nya nya tidak akan banyak ngoceh ngetik yaak biar tidak terlalu mencolok terima kasih saran nya top up di rstore id;untuk selanjut nya nya tidak akan banyak ngoceh ngetik yaak biar tidak terlalu mencolok terima kasih saran nya top up di rstore id;untuk lanjut nya nya tidak akan banyak ngoceh ngetik yaak biar tidak terlalu colok terima kasih saran nya top up di rstore id;['untuk', 'lanjut', 'nya', 'nya', 'tidak', 'akan', 'banyak', 'ngoceh', 'ngetik', 'yaak', 'biar', 'tidak', 'terlalu', 'colok', 'terima', 'kasih', 'saran', 'nya', 'top', 'up', 'di', 'rstore', 'id'];['tidak', 'ngoceh', 'ngetik', 'yaak', 'biar', 'tidak', 'colok', 'terima', 'kasih', 'saran', 'top', 'rstore', 'id'];tidak ngoceh ngetik yaak biar tidak colok terima kasih saran top rstore id;neutral;995
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzL-k929aTRVg48OO14AaABAg;@bro_l4na696;Aku tau artinya itu😂😂;17/02/2026 20:48;0;Aku tau arti nya itu 😂😂;aku tau arti nya itu 😂😂;aku tahu arti nya itu 😂😂;aku tahu arti nya itu 😂😂;aku tahu arti nya itu;['aku', 'tahu', 'arti', 'nya', 'itu'];['arti'];arti;neutral;9884
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgyTId8h0XpECen8s3x4AaABAg;@Suggii;Kebanyakan yapping lu bg, ga satisfying prankNya.;17/02/2026 20:43;1;Kebanyakan yapping lu bg ga satisfying prankNya;kebanyakan yapping lu bg ga satisfying pranknya;kebanyakan ngoceh kamu abang tidak memuaskan pranknya;kebanyakan ngoceh kamu abang tidak memuaskan pranknya;banyak ngoceh kamu abang tidak muas pranknya;['banyak', 'ngoceh', 'kamu', 'abang', 'tidak', 'muas', 'pranknya'];['ngoceh', 'abang', 'tidak', 'muas', 'pranknya'];ngoceh abang tidak muas pranknya;negative;9994
XAM5nCPwYrI;Mobile Legends: Bang-Bang;Ugxi8Wiraim2xR9cQT14AaABAg;@globalkhaleed;😂😂😂😂😂;17/02/2026 19:17;0;😂😂;😂😂;😂😂;😂😂;;[];[];;positive;9151
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzUmJdpk34IFotoNJt4AaABAg;@Toji_677;Palir:plr;17/02/2026 13:41;0;Palir plr;palir plr;kontol kontol;kontol kontol;kontol kontol;['kontol', 'kontol'];['kontol', 'kontol'];kontol kontol;neutral;9965
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxpV21kt9zUWVQUi394AaABAg;@mohammadkikisomantri4971;Kekuatan Orang Dalaaaaaaaaam;17/02/2026 13:14;0;Kekuatan Orang Dalaam;kekuatan orang dalaam;kekuatan orang dalam;kekuatan orang dalam;kuat orang dalam;['kuat', 'orang', 'dalam'];['kuat', 'orang'];kuat orang;neutral;9942
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwJL7hzuOfixjZD-tp4AaABAg;@FaidzhArdiyanramadhan;Nod tuh ap;17/02/2026 13:10;0;Nod tuh ap;nod tuh ap;nod itu apa;nod itu apa;nod itu apa;['nod', 'itu', 'apa'];['nod'];nod;neutral;9974
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgxpxqTPWdQwzyJRFHd4AaABAg;@littlebird6995;Terlalu banyak ngetik bg.. terlalu kentara;17/02/2026 12:42;0;Terlalu banyak ngetik bg terlalu kentara;terlalu banyak ngetik bg terlalu kentara;terlalu banyak ngetik abang terlalu kentara;terlalu banyak ngetik abang terlalu kentara;terlalu banyak ngetik abang terlalu kentara;['terlalu', 'banyak', 'ngetik', 'abang', 'terlalu', 'kentara'];['ngetik', 'abang', 'kentara'];ngetik abang kentara;negative;7787
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgzzawrPIoShAi2z6P54AaABAg;@cecepdarwin7969;Jual akun nih. Emblem mentok semua.;17/02/2026 05:28;0;Jual akun nih Emblem mentok semua;jual akun nih emblem mentok semua;jual akun ini emblem mentok semua;jual akun ini emblem mentok semua;jual akun ini emblem mentok semua;['jual', 'akun', 'ini', 'emblem', 'mentok', 'semua'];['jual', 'akun', 'emblem', 'mentok'];jual akun emblem mentok;neutral;8341
XAM5nCPwYrI;Mobile Legends: Bang-Bang;UgwFwHcHFbfdHSVdsDF4AaABAg;@MhmmdMaul;Kebanyakan yaping bg;16/02/2026 18:40;0;Kebanyakan yaping bg;kebanyakan yaping bg;kebanyakan ngoceh abang;kebanyakan ngoceh abang;banyak ngoceh abang;['banyak', 'ngoceh', 'abang'];['ngoceh', 'abang'];ngoceh abang;negative;9971
